,Atual,2023,2022,2021,2020,2019,acao
MARGEM EBIT,"7,93%","7,93%","7,96%","7,03%","7,69%","6,20%",clsc4
MARGEM EBITDA,"10,96%","10,96%","10,71%","9,20%","10,41%","9,04%",clsc4
EV/EBITDA,"4,28","4,15","4,16","4,34","4,55","4,18",clsc4
EV/EBIT,"5,92","5,73","5,60","5,68","6,15","6,09",clsc4
P/EBITDA,"2,28","2,21","1,96","2,51","2,36","2,74",clsc4
P/EBIT,"3,15","3,05","2,63","3,29","3,19","4,00",clsc4
P/ATIVO,"0,21","0,20","0,18","0,22","0,20","0,21",clsc4
P/CAP.GIRO,"-8,11","-7,86","-26,82","5,42","5,02","-28,53",clsc4
P/ATIVO CIRC LIQ,"-0,29","-0,28","-0,27","-0,32","-0,32","-0,28",clsc4
VPA,"76,03","76,03","74,75","67,96","51,45","36,48",clsc4
LPA,"14,44","14,44","14,01","9,44","13,45","7,35",clsc4
GIRO ATIVOS,"0,85","0,85","0,87","0,95","0,83","0,84",clsc4
ROE,"18,99%","18,99%","18,75%","13,89%","26,14%","20,15%",clsc4
ROIC,"11,85%","11,85%","11,69%","11,61%","12,05%","11,72%",clsc4
ROA,"4,53%","4,53%","4,65%","3,31%","4,86%","2,99%",clsc4
DÍVIDA LÍQUIDA / EBITDA,"1,99","1,99","2,27","1,94","2,13","1,51",clsc4
DÍVIDA LÍQUIDA / EBIT,"2,75","2,75","3,05","2,54","2,88","2,20",clsc4
DÍVIDA BRUTA / PATRIMÔNIO,"1,08","1,08","0,85","0,77","0,99","1,18",clsc4
PATRIMÔNIO / ATIVOS,"0,24","0,24","0,25","0,22","0,19","0,15",clsc4
PASSIVOS / ATIVOS,"0,76","0,76","0,75","0,78","0,81","0,85",clsc4
LIQUIDEZ CORRENTE,"0,91","0,91","0,98","1,15","1,12","0,97",clsc4
CAGR RECEITAS 5 ANOS,"5,35%","6,30%","7,29%","13,17%","5,23%","5,12%",clsc4
CAGR LUCROS 5 ANOS,"14,46%","27,54%","52,06%",-%,"31,75%","-11,18%",clsc4
P/L,"-0,01","-0,01","-0,14","0,18","-0,07","-0,02",osxb3
P/RECEITA (PSR),"0,29","0,29","0,59","0,81","6,37","0,86",osxb3
P/VP,-,"-0,00","-0,00","-0,00","-0,01","-0,00",osxb3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",osxb3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",osxb3
MARGEM LÍQUIDA,"-2.617,88%","-2.617,88%","-406,19%","464,24%","-8.676,47%","-4.720,54%",osxb3
MARGEM BRUTA,"100,00%","100,00%","90,81%","90,19%","100,00%","100,00%",osxb3
MARGEM EBIT,"-770,49%","-770,49%","1.494,38%","3.159,09%","-5.993,92%","-1.753,31%",osxb3
MARGEM EBITDA,"-750,14%","-750,14%","1.551,63%","3.219,36%","-5.634,42%","-1.156,13%",osxb3
EV/EBITDA,"-17,86","-17,86","9,82","5,61","-8,07","-31,06",osxb3
EV/EBIT,"-17,38","-17,38","10,20","5,72","-7,59","-20,48",osxb3
P/EBITDA,"-0,04","-0,04","0,04","0,03","-0,11","-0,07",osxb3
P/EBIT,"-0,04","-0,04","0,04","0,03","-0,11","-0,05",osxb3
P/ATIVO,"0,01","0,005626","0,007520","0,009623","0,04","0,005116",osxb3
P/CAP.GIRO,"-0,02","-0,02","-0,03","-0,04","-0,12","-0,02",osxb3
P/ATIVO CIRC LIQ,"-0,01","-0,01","-0,01","-0,01","-0,04","-0,01",osxb3
VPA,"-2.158,85","-2.158,85","-1.783,31","-1.692,26","-1.730,83","-1.453,34",osxb3
LPA,"-376,26","-376,26","-45,26","38,93","-276,44","-180,29",osxb3
GIRO ATIVOS,"0,02","0,02","0,01","0,01","0,006742","0,005975",osxb3
ROE,"-17,43%","-17,43%","-2,54%","-2,30%","-15,97%","-12,40%",osxb3
ROIC,"62,35%","62,35%","-134,54%","-92,43%","66,49%","78,91%",osxb3
ROA,"-50,32%","-50,32%","-10,50%","5,51%","-58,61%","-28,26%",osxb3
DÍVIDA LÍQUIDA / EBITDA,"-17,82","-17,82","9,79","5,59","-7,96","-30,98",osxb3
DÍVIDA LÍQUIDA / EBIT,"-17,35","-17,35","10,16","5,70","-7,48","-20,43",osxb3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,89","-0,89","-0,95","-0,89","-0,83","-0,94",osxb3
PATRIMÔNIO / ATIVOS,"-2,87","-2,87","-2,04","-2,39","-3,66","-2,27",osxb3
PASSIVOS / ATIVOS,"3,88","3,88","3,05","3,39","4,67","3,28",osxb3
LIQUIDEZ CORRENTE,"0,01","0,01","0,05","0,02","0,02","0,03",osxb3
CAGR RECEITAS 5 ANOS,"30,35%","37,94%","26,97%",-%,"-51,39%","-56,02%",osxb3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,osxb3
P/L,"8,76","10,71","5,48","16,61","17,61","12,00",coce5
P/RECEITA (PSR),"0,32","0,39","0,41","0,56","0,80","0,90",coce5
P/VP,"0,66","0,81","0,89","1,30","1,45","1,56",coce5
DIVIDEND YIELD (DY),"0,87%","0,71%","4,31%","6,23%","3,54%","3,00%",coce5
PAYOUT,"7,60%","7,60%","23,62%","103,38%","62,35%","35,96%",coce5
MARGEM LÍQUIDA,"3,66%","3,66%","7,48%","3,36%","4,52%","7,53%",coce5
MARGEM BRUTA,"18,58%","18,58%","16,77%","16,31%","12,67%","14,08%",coce5
MARGEM EBIT,"14,46%","14,46%","14,30%","11,33%","6,70%","10,49%",coce5
MARGEM EBITDA,"20,75%","20,75%","19,06%","15,54%","12,04%","15,53%",coce5
EV/EBITDA,"4,94","4,98","4,91","5,88","9,83","6,52",coce5
EV/EBIT,"7,09","7,15","6,55","8,06","17,65","9,66",coce5
P/EBITDA,"1,55","1,89","2,15","3,59","6,61","5,82",coce5
P/EBIT,"2,22","2,71","2,86","4,92","11,88","8,62",coce5
P/ATIVO,"0,21","0,26","0,28","0,40","0,50","0,56",coce5
P/CAP.GIRO,"-1,22","-1,50","-2,67","-29,85","-10,41","-3,62",coce5
P/ATIVO CIRC LIQ,"-0,27","-0,33","-0,37","-0,57","-0,67","-0,75",coce5
VPA,"53,83","53,83","50,82","44,79","41,49","40,00",coce5
LPA,"4,05","4,05","8,23","3,50","3,41","5,20",coce5
GIRO ATIVOS,"0,66","0,66","0,70","0,72","0,63","0,62",coce5
ROE,"7,53%","7,53%","16,19%","7,81%","8,21%","13,00%",coce5
ROIC,"11,01%","11,01%","12,31%","10,51%","5,07%","9,00%",coce5
ROA,"2,41%","2,41%","5,20%","4,35%","2,83%","4,67%",coce5
DÍVIDA LÍQUIDA / EBITDA,"3,16","3,16","2,69","2,73","3,16","2,41",coce5
DÍVIDA LÍQUIDA / EBIT,"4,54","4,54","3,58","3,74","5,67","3,58",coce5
DÍVIDA BRUTA / PATRIMÔNIO,"1,40","1,40","1,18","1,07","0,77","0,70",coce5
PATRIMÔNIO / ATIVOS,"0,32","0,32","0,32","0,31","0,34","0,36",coce5
PASSIVOS / ATIVOS,"0,68","0,68","0,68","0,69","0,66","0,81",coce5
LIQUIDEZ CORRENTE,"0,56","0,56","0,68","0,96","0,84","0,62",coce5
CAGR RECEITAS 5 ANOS,"9,91%","11,07%","13,27%","14,63%","7,27%","8,22%",coce5
CAGR LUCROS 5 ANOS,"-4,87%","-2,85%","8,01%","4,45%","-6,09%","9,99%",coce5
P/L,"8,21","6,99","3,71","0,89","4,87","6,48",cebr6
P/RECEITA (PSR),"4,27","3,64","2,26","3,24","1,47","0,28",cebr6
P/VP,"1,49","1,27","0,75","1,34","3,10","0,98",cebr6
DIVIDEND YIELD (DY),"13,96%","16,39%","38,54%","135,28%","1,26%","0,10%",cebr6
PAYOUT,"108,43%","108,43%","135,37%","391,85%","6,47%","4,89%",cebr6
MARGEM LÍQUIDA,"52,05%","52,05%","60,93%","364,47%","30,24%","4,33%",cebr6
MARGEM BRUTA,"51,83%","51,83%","54,06%","48,62%","14,07%","17,89%",cebr6
MARGEM EBIT,"63,05%","63,05%","88,26%","547,73%","9,18%","9,21%",cebr6
MARGEM EBITDA,"64,23%","64,23%","90,55%","550,62%","9,76%","11,33%",cebr6
EV/EBITDA,"3,69","2,54","-0,00","0,22","13,10","1,05",cebr6
EV/EBIT,"3,75","2,59","-0,00","0,22","13,93","1,29",cebr6
P/EBITDA,"6,65","5,67","2,50","0,59","15,07","2,48",cebr6
P/EBIT,"6,78","5,77","2,56","0,59","16,03","3,05",cebr6
P/ATIVO,"1,06","0,91","0,51","0,73","0,55","0,21",cebr6
P/CAP.GIRO,"2,24","1,91","1,14","-2,57","4,45","1,24",cebr6
P/ATIVO CIRC LIQ,"-2,39","-2,04","-1,18","-0,74","-4,08","-0,40",cebr6
VPA,"13,99","13,99","13,56","11,50","47,08","54,38",cebr6
LPA,"2,55","2,55","2,72","17,35","30,01","8,26",cebr6
GIRO ATIVOS,"0,25","0,25","0,22","0,23","0,37","0,75",cebr6
ROE,"18,20%","18,20%","20,09%","150,84%","63,73%","15,18%",cebr6
ROIC,"15,81%","15,81%","19,81%","150,80%","15,74%","26,02%",cebr6
ROA,"16,60%","16,60%","17,96%","85,47%","12,14%","4,25%",cebr6
DÍVIDA LÍQUIDA / EBITDA,"-3,02","-3,02","-2,53","-0,38","-0,98","-1,49",cebr6
DÍVIDA LÍQUIDA / EBIT,"-3,07","-3,07","-2,60","-0,38","-1,04","-1,84",cebr6
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","0,00","0,00","0,00",cebr6
PATRIMÔNIO / ATIVOS,"0,71","0,71","0,68","0,55","0,18","0,21",cebr6
PASSIVOS / ATIVOS,"0,10","0,10","0,15","0,81","0,77","0,61",cebr6
LIQUIDEZ CORRENTE,"6,97","6,97","4,62","0,02","1,17","1,56",cebr6
CAGR RECEITAS 5 ANOS,"-33,69%","-32,89%","-34,73%","-30,49%","-10,03%","5,31%",cebr6
CAGR LUCROS 5 ANOS,"8,46%","15,23%","10,65%","58,40%","56,68%",-%,cebr6
P/L,"11,94","12,06","429,33","13,99","0,00","0,00",igti3
P/RECEITA (PSR),"3,14","3,18","3,19","3,90","0,00","0,00",igti3
P/VP,"0,87","0,88","0,79","0,98","0,00","0,00",igti3
DIVIDEND YIELD (DY),"3,24%","1,74%","1,84%","0,42%","0,00%","0,00%",igti3
PAYOUT,"43,62%","36,11%","1.357,05%","3,74%","14,15%","12,15%",igti3
MARGEM LÍQUIDA,"26,33%","26,33%","0,74%","27,86%","11,30%","17,03%",igti3
MARGEM BRUTA,"63,86%","63,86%","58,59%","56,97%","59,31%","66,61%",igti3
MARGEM EBIT,"53,76%","53,76%","48,68%","39,79%","49,40%","63,93%",igti3
MARGEM EBITDA,"68,83%","68,83%","64,76%","57,57%","71,82%","80,91%",igti3
EV/EBITDA,"10,04","11,08","10,54","7,21","4,04","2,40",igti3
EV/EBIT,"12,85","14,19","14,02","10,44","5,87","3,04",igti3
P/EBITDA,"4,57","4,61","4,93","6,77","0,00","0,00",igti3
P/EBIT,"5,85","5,91","6,56","9,79","0,00","0,00",igti3
P/ATIVO,"0,47","0,47","0,40","0,45","0,00","0,00",igti3
P/CAP.GIRO,"3,49","3,53","6,92","1,81","0,00","0,00",igti3
P/ATIVO CIRC LIQ,"-0,62","-0,63","-0,55","-0,67","0,00","0,00",igti3
VPA,"3,41","3,41","3,34","2,80","13,20","12,55",igti3
LPA,"0,25","0,25","0,006172","0,20","0,62","1,05",igti3
GIRO ATIVOS,"0,15","0,15","0,13","0,12","0,10","0,13",igti3
ROE,"7,29%","7,29%","0,18%","6,97%","4,73%","8,37%",igti3
ROIC,"7,55%","7,55%","4,88%","2,20%","5,10%","9,91%",igti3
ROA,"3,96%","3,96%","0,16%","4,70%","2,51%","4,97%",igti3
DÍVIDA LÍQUIDA / EBITDA,"2,22","2,22","1,93","2,87","4,04","2,40",igti3
DÍVIDA LÍQUIDA / EBIT,"2,84","2,84","2,57","4,16","5,87","3,04",igti3
DÍVIDA BRUTA / PATRIMÔNIO,"0,81","0,81","0,76","1,00","2,21","1,60",igti3
PATRIMÔNIO / ATIVOS,"0,54","0,54","0,51","0,47","0,23","0,27",igti3
PASSIVOS / ATIVOS,"0,46","0,46","0,49","0,53","0,55","0,85",igti3
LIQUIDEZ CORRENTE,"2,16","2,16","1,27","4,64","2,33","0,48",igti3
CAGR RECEITAS 5 ANOS,"8,91%","9,87%","7,95%","5,11%","1,23%","5,51%",igti3
CAGR LUCROS 5 ANOS,"1,58%","5,21%","-41,55%","30,78%",-%,-%,igti3
P/L,"11,94","12,06","429,33","13,99","0,00","0,00",igti3
P/RECEITA (PSR),"3,14","3,18","3,19","3,90","0,00","0,00",igti3
P/VP,"0,87","0,88","0,79","0,98","0,00","0,00",igti3
DIVIDEND YIELD (DY),"3,24%","1,74%","1,84%","0,42%","0,00%","0,00%",igti3
PAYOUT,"43,62%","36,11%","1.357,05%","3,74%","14,15%","12,15%",igti3
MARGEM LÍQUIDA,"26,33%","26,33%","0,74%","27,86%","11,30%","17,03%",igti3
MARGEM BRUTA,"63,86%","63,86%","58,59%","56,97%","59,31%","66,61%",igti3
MARGEM EBIT,"53,76%","53,76%","48,68%","39,79%","49,40%","63,93%",igti3
MARGEM EBITDA,"68,83%","68,83%","64,76%","57,57%","71,82%","80,91%",igti3
EV/EBITDA,"10,04","11,08","10,54","7,21","4,04","2,40",igti3
EV/EBIT,"12,85","14,19","14,02","10,44","5,87","3,04",igti3
P/EBITDA,"4,57","4,61","4,93","6,77","0,00","0,00",igti3
P/EBIT,"5,85","5,91","6,56","9,79","0,00","0,00",igti3
P/ATIVO,"0,47","0,47","0,40","0,45","0,00","0,00",igti3
P/CAP.GIRO,"3,49","3,53","6,92","1,81","0,00","0,00",igti3
P/ATIVO CIRC LIQ,"-0,62","-0,63","-0,55","-0,67","0,00","0,00",igti3
VPA,"3,41","3,41","3,34","2,80","13,20","12,55",igti3
LPA,"0,25","0,25","0,006172","0,20","0,62","1,05",igti3
GIRO ATIVOS,"0,15","0,15","0,13","0,12","0,10","0,13",igti3
ROE,"7,29%","7,29%","0,18%","6,97%","4,73%","8,37%",igti3
ROIC,"7,55%","7,55%","4,88%","2,20%","5,10%","9,91%",igti3
ROA,"3,96%","3,96%","0,16%","4,70%","2,51%","4,97%",igti3
DÍVIDA LÍQUIDA / EBITDA,"2,22","2,22","1,93","2,87","4,04","2,40",igti3
DÍVIDA LÍQUIDA / EBIT,"2,84","2,84","2,57","4,16","5,87","3,04",igti3
DÍVIDA BRUTA / PATRIMÔNIO,"0,81","0,81","0,76","1,00","2,21","1,60",igti3
PATRIMÔNIO / ATIVOS,"0,54","0,54","0,51","0,47","0,23","0,27",igti3
PASSIVOS / ATIVOS,"0,46","0,46","0,49","0,53","0,55","0,85",igti3
LIQUIDEZ CORRENTE,"2,16","2,16","1,27","4,64","2,33","0,48",igti3
CAGR RECEITAS 5 ANOS,"8,91%","9,87%","7,95%","5,11%","1,23%","5,51%",igti3
CAGR LUCROS 5 ANOS,"1,58%","5,21%","-41,55%","30,78%",-%,-%,igti3
P/L,"-75,91","-73,47","11,64","86,84","-537,86","133,70",aper3
P/RECEITA (PSR),"1,61","1,56","1,27","2,63","3,64","3,65",aper3
P/VP,"1,10","1,06","0,66","1,30","2,13","1,89",aper3
DIVIDEND YIELD (DY),"0,72%","0,75%","0,26%","0,00%","0,16%","0,00%",aper3
PAYOUT,"-54,81%","-54,81%","2,99%","0,00%","-86,58%","0,00%",aper3
MARGEM LÍQUIDA,"-2,12%","-2,12%","10,94%","3,02%","-0,68%","2,73%",aper3
MARGEM BRUTA,"97,63%","97,63%","87,25%","91,35%","90,55%","93,66%",aper3
MARGEM EBIT,"8,58%","8,58%","7,71%","5,06%","-3,21%","-7,89%",aper3
MARGEM EBITDA,"15,98%","15,98%","17,54%","15,71%","10,06%","14,72%",aper3
EV/EBITDA,"10,32","10,00","4,47","13,09","31,97","18,89",aper3
EV/EBIT,"19,22","18,62","10,17","40,62","-100,22","-35,24",aper3
P/EBITDA,"10,09","9,77","7,26","16,71","36,22","24,81",aper3
P/EBIT,"18,79","18,18","16,53","51,85","-113,53","-46,30",aper3
P/ATIVO,"0,63","0,61","0,40","0,73","1,26","1,27",aper3
P/CAP.GIRO,"-9,61","-9,30","6,63","7,97","13,37","5,92",aper3
P/ATIVO CIRC LIQ,"-0,77","-0,74","-0,54","-0,98","-1,66","-2,09",aper3
VPA,"40,86","40,86","41,15","25,81","15,48","15,33",aper3
LPA,"-0,59","-0,59","2,32","0,39","-0,06","0,22",aper3
GIRO ATIVOS,"0,39","0,39","0,32","0,28","0,35","0,35",aper3
ROE,"-1,45%","-1,45%","5,64%","1,50%","-0,40%","1,41%",aper3
ROIC,"3,57%","3,57%","0,94%","2,05%","-2,92%","-4,13%",aper3
ROA,"-0,84%","-0,84%","3,43%","0,82%","-0,29%","0,95%",aper3
DÍVIDA LÍQUIDA / EBITDA,"0,23","0,23","-2,79","-3,62","-4,25","-5,92",aper3
DÍVIDA LÍQUIDA / EBIT,"0,43","0,43","-6,36","-11,23","13,31","11,05",aper3
DÍVIDA BRUTA / PATRIMÔNIO,"0,11","0,11","0,00","0,00","0,00","0,00",aper3
PATRIMÔNIO / ATIVOS,"0,57","0,57","0,61","0,56","0,59","0,67",aper3
PASSIVOS / ATIVOS,"0,43","0,43","0,39","0,44","0,41","0,35",aper3
LIQUIDEZ CORRENTE,"0,74","0,74","1,31","1,56","1,64","2,24",aper3
CAGR RECEITAS 5 ANOS,"28,49%","29,52%","21,03%","2,18%","-11,41%","-16,64%",aper3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"-31,17%",aper3
P/L,"5,01","5,60","5,20","4,87","8,85","6,92",brsr3
P/RECEITA (PSR),"0,34","0,38","0,34","0,59","0,78","1,03",brsr3
P/VP,"0,51","0,57","0,46","0,54","0,77","1,19",brsr3
DIVIDEND YIELD (DY),"5,43%","6,62%","8,23%","8,04%","4,17%","5,47%",brsr3
PAYOUT,"27,21%","37,10%","42,80%","81,37%","29,78%","33,50%",brsr3
MARGEM LÍQUIDA,"6,79%","6,79%","6,47%","12,14%","8,84%","14,82%",brsr3
MARGEM BRUTA,"31,00%","31,00%","30,36%","58,44%","63,68%","47,16%",brsr3
MARGEM EBIT,"7,90%","7,90%","5,84%","13,65%","11,43%","15,74%",brsr3
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","6,61%","19,13%",brsr3
EV/EBITDA,-,-,-,-,"11,41","5,23",brsr3
EV/EBIT,"4,31","4,73","5,50","4,02","6,60","6,36",brsr3
P/EBITDA,-,-,-,-,"11,84","5,36",brsr3
P/EBIT,"4,31","4,81","5,76","4,33","6,85","6,51",brsr3
P/ATIVO,"0,04","0,05","0,04","0,05","0,07","0,11",brsr3
P/CAP.GIRO,"1,05","1,17","2,74","3,09","1,61","0,12",brsr3
P/ATIVO CIRC LIQ,"-0,04","-0,05","-0,04","-0,05","-0,08","-3,26",brsr3
VPA,"24,11","24,11","23,26","22,10","20,39","19,04",brsr3
LPA,"2,47","2,47","2,06","2,43","1,78","3,29",brsr3
GIRO ATIVOS,"0,12","0,12","0,11","0,08","0,09","0,11",brsr3
ROE,"10,26%","10,26%","8,85%","11,01%","8,72%","17,26%",brsr3
ROIC,"10,27%","10,27%","7,13%","11,88%","10,11%","17,68%",brsr3
ROA,"0,81%","0,81%","0,74%","0,96%","0,79%","1,66%",brsr3
PATRIMÔNIO / ATIVOS,"0,08","0,08","0,08","0,09","0,09","0,10",brsr3
PASSIVOS / ATIVOS,"0,92","0,92","0,92","0,93","0,93","0,34",brsr3
LIQUIDEZ CORRENTE,"1,73","1,73","1,87","1,33","2,34",-,brsr3
CAGR RECEITAS 5 ANOS,"10,43%","12,01%","6,91%","-4,75%","-3,18%","4,07%",brsr3
CAGR LUCROS 5 ANOS,"-5,51%","-0,70%","-4,37%","8,57%","-3,04%","14,22%",brsr3
P/L,"4,61","4,26","4,07","4,71","4,54","8,75",ealt4
P/RECEITA (PSR),"0,46","0,42","0,31","0,44","0,45","0,49",ealt4
P/VP,"0,93","0,86","0,70","0,91","0,62","0,91",ealt4
DIVIDEND YIELD (DY),"6,08%","6,58%","4,71%","4,03%","0,79%","2,13%",ealt4
PAYOUT,"17,36%","17,36%","17,52%","19,42%","7,07%","11,93%",ealt4
MARGEM LÍQUIDA,"9,95%","9,95%","7,52%","9,40%","10,02%","5,63%",ealt4
MARGEM BRUTA,"23,76%","23,76%","22,67%","23,96%","25,31%","21,62%",ealt4
MARGEM EBIT,"11,11%","11,11%","11,91%","11,51%","12,71%","9,04%",ealt4
MARGEM EBITDA,"15,30%","15,30%","15,40%","14,86%","16,99%","12,45%",ealt4
EV/EBITDA,"4,45","4,31","3,78","6,07","6,62","8,26",ealt4
EV/EBIT,"6,13","5,94","4,90","7,83","8,85","11,37",ealt4
P/EBITDA,"3,00","2,77","1,99","2,98","2,68","3,96",ealt4
P/EBIT,"4,13","3,81","2,57","3,84","3,58","5,45",ealt4
P/ATIVO,"0,41","0,37","0,29","0,35","0,27","0,40",ealt4
P/CAP.GIRO,"10,99","10,15","-112,58","5,24","4,04","14,15",ealt4
P/ATIVO CIRC LIQ,"-0,67","-0,62","-0,45","-0,60","-0,45","-0,62",ealt4
VPA,"10,83","10,83","9,56","8,34","8,16","7,23",ealt4
LPA,"2,19","2,19","1,64","1,61","1,12","0,75",ealt4
GIRO ATIVOS,"0,88","0,88","0,96","0,79","0,60","0,81",ealt4
ROE,"20,25%","20,25%","17,20%","19,35%","13,74%","10,35%",ealt4
ROIC,"13,40%","13,40%","15,27%","12,48%","9,67%","9,77%",ealt4
ROA,"8,80%","8,80%","7,21%","7,39%","6,05%","4,57%",ealt4
DÍVIDA LÍQUIDA / EBITDA,"1,48","1,48","1,50","2,27","2,18","2,35",ealt4
DÍVIDA LÍQUIDA / EBIT,"2,04","2,04","1,94","2,93","2,92","3,24",ealt4
DÍVIDA BRUTA / PATRIMÔNIO,"0,52","0,52","0,59","0,69","0,51","0,54",ealt4
PATRIMÔNIO / ATIVOS,"0,43","0,43","0,42","0,38","0,44","0,44",ealt4
PASSIVOS / ATIVOS,"0,57","0,57","0,58","2,98","0,56","0,56",ealt4
LIQUIDEZ CORRENTE,"1,10","1,10","0,99","1,19","1,21","1,09",ealt4
CAGR RECEITAS 5 ANOS,"10,62%","14,94%","23,92%","26,85%","11,42%","11,80%",ealt4
CAGR LUCROS 5 ANOS,"23,96%","32,12%","3,84%",-%,"190,50%","20,01%",ealt4
P/L,"-114,04","-126,50","-1,22","-1,09","-0,60","-13,57",plas3
P/RECEITA (PSR),"0,09","0,10","0,14","0,22","0,19","0,23",plas3
P/VP,"-0,20","-0,22","-0,29","-0,43","-0,37","-1,28",plas3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",plas3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",plas3
MARGEM LÍQUIDA,"-0,08%","-0,08%","-11,45%","-19,95%","-31,69%","-1,67%",plas3
MARGEM BRUTA,"12,22%","12,22%","14,15%","7,56%","-1,27%","7,68%",plas3
MARGEM EBIT,"5,30%","5,30%","0,70%","-6,67%","-22,66%","1,56%",plas3
MARGEM EBITDA,"10,49%","10,49%","5,04%","-0,96%","-12,43%","11,74%",plas3
EV/EBITDA,"3,63","3,72","9,32","-53,81","-4,80","5,66",plas3
EV/EBIT,"7,17","7,35","66,64","-7,73","-2,63","42,53",plas3
P/EBITDA,"0,82","0,91","2,76","-22,80","-1,53","1,93",plas3
P/EBIT,"1,63","1,81","19,77","-3,27","-0,84","14,53",plas3
P/ATIVO,"0,12","0,13","0,16","0,22","0,12","0,15",plas3
P/CAP.GIRO,"-0,31","-0,34","-0,32","-0,52","-0,66","-0,52",plas3
P/ATIVO CIRC LIQ,"-0,18","-0,20","-0,24","-0,32","-0,16","-0,19",plas3
VPA,"-32,94","-32,94","-32,88","-25,07","-15,23","-5,81",plas3
LPA,"-0,06","-0,06","-7,82","-9,84","-9,42","-0,55",plas3
GIRO ATIVOS,"1,39","1,39","1,17","0,99","0,61","0,65",plas3
ROE,"-0,18%","-0,18%","-23,77%","-39,25%","-61,83%","-9,45%",plas3
ROIC,"7,41%","7,41%","-4,21%","35,03%","1.553,41%","3,80%",plas3
ROA,"-0,11%","-0,11%","-13,39%","-19,76%","-19,34%","-1,08%",plas3
DÍVIDA LÍQUIDA / EBITDA,"2,80","2,80","6,55","-31,01","-3,27","3,73",plas3
DÍVIDA LÍQUIDA / EBIT,"5,54","5,54","46,87","-4,45","-1,79","28,00",plas3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,72","-0,72","-0,75","-0,62","-0,97","-2,71",plas3
PATRIMÔNIO / ATIVOS,"-0,60","-0,60","-0,56","-0,50","-0,31","-0,11",plas3
PASSIVOS / ATIVOS,"1,60","1,60","1,56","1,50","1,31","1,11",plas3
LIQUIDEZ CORRENTE,"0,45","0,45","0,39","0,44","0,61","0,44",plas3
CAGR RECEITAS 5 ANOS,"18,37%","22,25%","16,86%","11,76%","-5,14%","-9,15%",plas3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,plas3
P/L,"8,59","9,30","5,02","13,18","7,43","9,31",bees3
P/RECEITA (PSR),"0,54","0,59","0,36","0,71","1,08","0,94",bees3
P/VP,"1,31","1,42","0,87","0,81","1,00","1,24",bees3
DIVIDEND YIELD (DY),"7,49%","6,65%","9,30%","7,05%","3,90%","4,79%",bees3
PAYOUT,"64,21%","61,56%","44,42%","87,10%","32,31%","44,43%",bees3
MARGEM LÍQUIDA,"6,31%","6,31%","7,23%","5,39%","14,58%","10,07%",bees3
MARGEM BRUTA,"28,15%","28,15%","26,05%","40,27%","50,63%","33,95%",bees3
MARGEM EBIT,"8,43%","8,43%","10,64%","19,37%","23,67%","13,24%",bees3
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","0,00%","0,00%",bees3
EV/EBITDA,-,-,-,-,-,-,bees3
EV/EBIT,"6,58","7,07","3,58","3,86","4,71","7,23",bees3
P/EBITDA,-,-,-,-,-,-,bees3
P/EBIT,"6,42","6,96","3,41","3,67","4,57","7,08",bees3
P/ATIVO,"0,07","0,07","0,05","0,05","0,06","0,08",bees3
P/CAP.GIRO,"1,69","1,83","0,39","0,28","0,83","-0,48",bees3
P/ATIVO CIRC LIQ,"-0,07","-0,08","-0,05","-0,05","-0,06","-0,18",bees3
VPA,"6,71","6,71","6,31","5,98","5,43","5,09",bees3
LPA,"1,02","1,02","1,09","0,37","0,73","0,68",bees3
GIRO ATIVOS,"0,12","0,12","0,13","0,06","0,05","0,09",bees3
ROE,"15,27%","15,27%","17,36%","6,15%","13,52%","13,29%",bees3
ROIC,"15,27%","15,27%","17,36%","15,68%","16,11%","16,21%",bees3
ROA,"0,78%","0,78%","0,94%","0,75%","0,76%","0,91%",bees3
PATRIMÔNIO / ATIVOS,"0,05","0,05","0,05","0,06","0,06","0,07",bees3
PASSIVOS / ATIVOS,"0,95","0,95","0,93","0,95","0,95","0,94",bees3
LIQUIDEZ CORRENTE,"2,04","2,04",-,-,-,"0,75",bees3
CAGR RECEITAS 5 ANOS,"19,31%","18,84%","12,53%","-5,75%","-6,61%","3,90%",bees3
CAGR LUCROS 5 ANOS,"8,66%","12,33%","14,56%","9,46%","8,97%","9,84%",bees3
P/L,"9,48","11,37","8,22","10,00","20,18","17,46",bpac5
P/RECEITA (PSR),"1,79","2,14","1,30","3,56","5,02","5,88",bpac5
P/VP,"1,91","2,29","1,52","1,60","2,48","3,07",bpac5
DIVIDEND YIELD (DY),"3,18%","2,65%","3,91%","2,52%","1,75%","2,06%",bpac5
